SRX1423999	SRX1423983	SRX1424106	SRX1423989	SRX1424093	SRX1424222	SRX1424217	SRX1424218	SRX1423995	SRX1424224	SRX1424344	SRX1424355	SRX1424115	SRX1424227	SRX1424330	SRX1424114	SRX1424336	SRX1424111	SRX1424220	SRX1424211	SRX1423972	SRX1424215	SRX1424327	SRX1424226	SRX1424105	SRX1424103	SRX1424101	SRX1424108	SRX1423985	SRX1424352	SRX1424177	SRX1424311	SRX1424087	SRX1424292	SRX1423946	SRX1424193	SRX1423939	SRX1423936	SRX1424197	SRX1424203	SRX1424176	SRX1424318	SRX1424304	SRX1424174	SRX1424301	SRX1424191	SRX1423960	SRX1424291	SRX1423935	SRX1424306	SRX1424088	SRX1424171	SRX1424314	SRX1424308	SRX1424199	SRX1424058	SRX1424055	SRX1424186	SRX1423968	SRX1424067
LOC_Os01g03340	2.8174519656765	1.18718814601545	2.02591469875079	2.56386587819776	0.0352790292091944	3.68490175183124	2.54544109618548	1.85352983889798	5.34320931370309	3.05222302340023	4.82284250045545	4.857038059956	1.88264344060112	3.68189032747755	3.59883526722173	2.30089188329825	2.00080696214876	1.9274808370314	4.26645614443717	1.61497833706384	-1.31716066006114	2.49523618981843	1.93493726559028	5.36787036560968	2.29917899931518	1.35575434270952	1.78456972979759	2.57362125661556	3.73918567154765	2.51738757648651	3.46283747058419	2.89764432364316	0.427296147750644	0.846719556132793	1.29778715741991	3.28979552073666	2.2467564811126	0.274925968144908	2.68449089665873	3.47799432302957	3.21538412632108	2.16530772909132	2.64894488113232	2.60954932093037	3.00511447475784	2.86728565968641	3.50304884225327	1.9587732757676	-0.0555118309781635	3.15667749084621	2.69972662863533	2.08805235873856	2.80769309135832	3.52402153803269	3.04450988006158	0.741059630468542	1.40745282528926	2.81897732274772	2.46102478551309	0.458168839141397
LOC_Os01g03360	1.77139671146182	0.017743786503007	1.57174330102762	2.56702089078521	-1.71621094989126	3.31002260550583	-0.95666109511445	0.511770614220694	5.29065323513422	2.66783196438724	5.09710256160802	5.29077275997581	-0.899164947363289	3.62607356870232	3.87302008858556	-0.249480959862723	-0.384058325934529	-0.390176969942551	4.17705678041451	0.477508442067209	-0.449532701334238	-0.508376727265052	-0.704220561604196	5.65103472326285	-0.0388671602768462	-1.79582922738617	-1.16818760049201	0.102210641762355	0.719618921862894	1.36775852821193	2.97424331481553	0.813969537186618	-0.674613585340227	0.200911078106646	0.517276701205765	1.64250103599175	1.131921312116	-0.596723550609342	1.8235329398202	2.29010940662116	2.62119713935814	0.573000230392151	0.482905060646909	2.05488007358072	0.322905333995837	1.66976607067768	3.5686719307133	-0.0714045488383779	-1.43428195475978	1.96448033023688	1.22462439803504	1.33963226418052	0.722159965788379	1.31114850139226	1.71000033768433	-2.78966101351415	-0.347637415821948	1.87651301751784	1.63163468675806	-0.0643743046626233
LOC_Os01g03690	-1.21216637827203	-0.856705855725625	-1.77048098374266	-2.7856065798891	-1.13825738456489	-1.20768768614159	-0.961310982557325	-2.22299655613461	-0.745776050268794	-0.999610524915731	-1.10566881005136	-1.73985387349103	-1.14640668737056	-0.953022884801941	-2.85931032951272	-2.66577956903407	-3.78796612954221	-1.73389112301676	-1.24810786159569	-1.31262392461148	-2.89505149883766	-2.30308030945939	-3.04307501730216	-0.92403753370849	-1.03365222792172	-1.85961920341884	-0.334163391070932	-1.42456761109675	-1.69326180193287	-1.23098661531316	-0.139647373711767	-1.19746760861303	-1.90395949412367	-1.87799263128033	-1.34150789036331	-0.633069638746274	-0.667272591897727	-0.252103933239262	-0.738818241838701	-0.344413695248821	-0.466063941421788	-1.3303200864942	-1.91612629242381	0.506464845629683	-3.10425067775254	-0.573308002425985	-1.28170545457518	-1.50892065214327	-1.86544258018224	-1.55779429133753	-1.02163740816809	0.0488388105075453	-1.38294229991764	-1.70203622188572	-1.34135800129871	NA	-0.436722748427177	-0.143329766228152	-1.15331173028718	-1.61125719136482
LOC_Os01g03810	0.179021788603297	-0.325284458675874	0.535937480020068	-0.956473507227294	-2.15295879463924	0.0131020323976745	-1.14940537651158	-0.511742087192006	1.10805602756647	0.47360821932642	-1.67696895366026	-0.116726410644207	0.835203759291657	0.317388589752753	-0.683624835292283	1.5477622229489	-1.38927348397474	1.20169470398187	-0.295521068583801	-0.127577812774565	-0.490054906215541	-0.227266374548647	-1.15401786071138	0.747475913744025	0.796368499316426	0.189428613222042	0.805762957510612	1.04352789259062	-0.32786073604246	-0.0219742814653364	0.415536945975031	0.505743604756597	1.14545704020133	-0.685665425957438	1.29290775872006	1.66760378442702	0.629431230257478	0.312539716360969	1.64138001712618	1.91776627672462	0.798850153950224	1.8725856966469	0.066198055993864	1.85167389440818	-0.862139781211342	1.31120431528885	1.16723523563252	0.564014217166896	-0.269853089883362	1.00550634440299	1.91536409833663	0.894960522436092	1.03623885936576	0.887232022921138	1.38918075659401	-1.47800051302402	1.29382305804437	0.958412864380167	1.34145068417788	1.44450328356761
LOC_Os01g03820	2.41822233736795	1.10077720344087	2.82359407884154	1.91364388987245	1.14802168147186	1.9048971457013	0.864916297905684	1.63057601256002	2.62972333860687	2.67147862346704	1.87086772554018	2.63122258083777	2.82364013519321	2.17011638628949	0.855273751654942	3.1125461814693	1.40594281722191	2.71170039346166	2.42919815813802	0.788455195045788	0.413314614411364	1.3554251014784	-0.0316393555605219	2.65851153211625	2.44050842799552	1.92346260211731	1.7375439989152	2.86392854177016	1.56257702959846	2.2564222529266	2.70388475255206	3.10035604519859	3.60482012057841	2.58099203526654	2.97541539837664	3.32796984034989	3.03599262953606	2.48673856789184	3.44812760733694	4.11343280239915	3.07015280956775	3.5183943875217	2.82459231626493	2.11505688803131	3.01364591257517	3.32115878908438	3.70490714631441	2.69992558319981	1.67829460397045	3.51205086951069	3.66939465120361	2.24791597183709	3.21401753201363	3.20990856157498	3.69933729999038	1.73584360686843	3.09123420427572	2.84210470603017	3.70759723304489	2.56323184999177
LOC_Os01g03940	1.56182564652486	2.00073414495177	2.82140062476457	2.20086620593606	1.96883504597176	2.25355094700802	1.76941504063533	2.01561567201523	2.47736103963968	2.18612557301216	1.44785369242305	2.26284714388716	3.1182931052634	2.54962580298207	1.61739440852664	2.99759609143444	1.36908841591034	2.2854341797522	2.32553954176086	1.73880457912736	0.261278058205783	1.98793965483775	0.557072813275682	2.79469096596329	3.36416884144027	2.22594274678734	1.74311206877355	2.61854032119316	1.96857224605811	2.51860488014575	2.73835215106766	3.33164460139932	3.75797562301516	2.87419379920278	2.53988711067884	3.76564761161886	3.12403278244955	2.1365963080013	3.75444949758611	3.3549752331184	3.33508345233116	3.40228504605609	2.71534781010463	2.54396647664326	3.18213115798475	3.74142524202295	2.65676429109755	2.75462907630754	1.67713249502765	3.45285698841788	3.14959105616372	3.17636474424185	3.33103874037489	2.86572347348111	3.26813447467372	2.08775474530226	2.93807327751113	2.58067927932603	2.88748744824068	2.87514682865087
LOC_Os01g03950	0.197331986134722	-1.48702275319801	-0.251330965176632	-0.794434824389188	-1.09012400071979	-1.63295553484559	-2.00325839686745	-1.0156950243796	0.659779368494598	-0.936853288580181	-1.81507230457209	0.120800473139564	0.295874631775634	-0.538142497461952	-0.632716169712248	0.012271165190359	-2.29791344246218	0.433976415898105	-0.985856127331382	-2.19456555221851	-3.25559775765237	-1.86498530341739	NA	-0.329049110066128	-0.120005723559588	-0.989730027446346	-1.23486247377403	-0.251334399674182	-0.953249131414633	-1.082252051203	-1.02613161523977	-0.33636573203381	-1.0700514882723	-2.18632756002792	-0.927370052647163	-0.105016978772553	-1.71949972111464	-1.74915966643835	-0.0427198067600007	0.442851160411346	-1.10585199660819	-0.341974108333322	-0.754789131749146	NA	-1.53573741733157	-0.0182671501587275	-0.721415692104933	-1.51560816243544	-1.8560685283192	-0.893681164577738	-0.385416411946675	-2.31755614651908	-0.403337683924891	-0.830346892042384	0.268556559341269	-2.61760498999089	-1.02876658409476	-1.2432362912105	0.169801886212499	-0.48557976095021
LOC_Os01g04160	-1.18212465099828	-1.71687948658209	-1.0167017237972	-2.76416022444313	-1.78449782984834	-2.23757123766382	-3.11917814502992	-1.94005225914073	-0.448191658606677	-1.65636704955953	-1.56351830810894	-2.01928734345879	-1.63332248934731	-1.88416770134744	-0.643207123035391	-1.36770200013613	-2.03137983454052	-1.27239838905069	-1.4998139001837	-3.01950960158498	-3.55222404966199	-1.88737725782333	-1.15786591989438	-1.41355709218254	-1.60853140636543	-2.03329785317089	-1.72332944723274	-1.50770992943629	-1.49554435116727	-0.941021367563133	-3.63035819802575	-1.13580474100927	-1.59298450634507	-1.41996260112675	-2.43374791128537	-1.64132017843105	-1.31262750816795	-1.47862356244975	-2.31723255862641	-1.96845235476916	-1.87149542395546	-0.832791102776768	-2.12595063624477	-2.12653009761871	-1.4456095785795	-1.85129752598816	-0.954758349569539	-1.76273978126282	-1.25999295043559	-1.33393424954623	-1.84695738656749	-1.68160795246273	-2.3969085230024	-1.1880785572332	-0.38747764363787	NA	-1.05743369931981	-2.20842094581425	0.049880255728259	-3.16930333383944
LOC_Os01g04330	3.01338596914766	4.12213827607887	3.33210753303134	2.20338159939523	3.55131322628206	2.52970352760869	3.06184133336542	3.0331435101202	5.96794889542309	2.82759467825569	2.75614092666962	3.85279220111199	3.11033835181161	3.01095148419268	2.99428445741399	2.34217553308662	2.38429990753169	2.63821752013403	3.54524931278974	3.55540254773585	3.3926110156939	2.67166226569522	4.16203049405753	3.47624765199044	4.23381598496094	2.99199921128367	4.35303451150875	3.55971437977504	3.54752793393707	3.2398467898568	2.61018293288193	2.35558916771675	1.10500081765547	2.76120143289512	2.24246958590471	2.32961905183125	3.08664723345611	2.57274805913412	2.86830253537488	2.82960361111913	3.08303972370595	1.67280548445981	3.30576963833704	3.32963239749782	2.13542618745676	3.16446530392498	3.1295393816845	2.51531506830153	2.30583455989875	3.21086698188207	3.44595190826305	3.13903393578644	3.70205574092706	2.5943438347536	1.97295984946214	0.866962560226649	3.48594417243394	2.76234668934184	3.11932479932645	1.62970585573283
LOC_Os01g04340	1.20078241989564	2.701161329069	3.54516305137831	2.32878534873062	5.57803182406344	2.60025619249254	3.50969318200154	4.29468580653868	1.18267767982718	3.30752615882563	0.932747573594586	-1.10477804774147	-1.21858488804941	2.43591070534992	6.27782356918187	0.459825027276982	2.86018096902686	0.403965719681479	4.46898863521668	4.59586924093818	6.20973460526001	1.36760310839829	5.2419300823204	2.98495075351468	2.71895688561403	1.75242662472027	3.03168261263179	1.72450097453652	2.3119788008943	0.253402390405321	NA	-3.84013318300057	NA	NA	-2.7200889796839	-2.90378133396901	-3.03540175180015	-3.39441084868889	-4.29372673536286	-3.77712621103364	-5.09537024301441	-4.28127408798144	NA	NA	-5.22512651303819	-4.51903180009554	-2.62737769864713	-3.8936141561699	-4.27642920679742	-5.0120068820347	-3.06738242466989	NA	-4.19471745135204	-2.98860741448847	NA	-3.03677448489754	-2.1739181315869	-5.3978738287834	-4.39141025287308	-2.18991067231024
